name,rating,reviews,installs,price,content_rating,genre
► MultiCraft ― Free Miner! 👍,4.3,"1,305,050","50,000,000",0.00,Everyone 10+,Adventure
2GIS: directory & navigator,4.5,"768,833","50,000,000",0.00,Everyone,Travel & Local
"360 Security - Free Antivirus, Booster, Cleaner",4.6,"16,771,865","100,000,000",0.00,Everyone,Tools
365Scores - Live Scores,4.6,"666,521","10,000,000",0.00,Everyone,Sports
3D Bowling,4.1,"1,076,243","100,000,000",0.00,Everyone,Sports
3D Tennis,4.2,"1,008,012","50,000,000",0.00,Everyone,Sports
8 Ball Pool,4.5,"14,201,891","100,000,000",0.00,Everyone,Sports
"9GAG: Funny Gifs, Pics, Memes & Videos for IGTV",4.6,"1,450,632","10,000,000",0.00,Teen,Entertainment
aa,4.2,"886,418","50,000,000",0.00,Everyone,Strategy
AccuWeather: Daily Forecast & Live Weather Reports,4.4,"2,053,404","50,000,000",0.00,Everyone,Weather
Adobe Acrobat Reader,4.3,"3,016,305","100,000,000",0.00,Everyone,Productivity
Adobe Photoshop Express:Photo Editor Collage Maker,4.2,"914,917","50,000,000",0.00,Everyone,Photography
Agar.io,4.2,"3,816,799","100,000,000",0.00,Everyone,Action
ai.type Free Emoji Keyboard,4.3,"647,844","10,000,000",0.00,Everyone,Personalization
Akinator,4.3,"1,805,398","50,000,000",0.00,Teen,Entertainment
Alarm Clock: Stopwatch & Timer,4.5,"870,928","50,000,000",0.00,Everyone,Productivity
"AliExpress - Smarter Shopping, Better Living",4.6,"5,917,485","100,000,000",0.00,Teen,Shopping
Amazon Kindle,4.2,"814,151","100,000,000",0.00,Teen,Books & Reference
Amazon Shopping,4.3,"909,226","100,000,000",0.00,Teen,Shopping
Amino: Communities and Chats,4.8,"1,264,084","10,000,000",0.00,Teen,Social
Android Messages,4.2,"781,810","100,000,000",0.00,Everyone,Communication
Angry Birds 2,4.6,"3,883,589","100,000,000",0.00,Everyone,Casual
Angry Birds Classic,4.4,"5,566,908","100,000,000",0.00,Everyone,Arcade
Angry Birds Epic RPG,4.5,"2,634,605","10,000,000",0.00,Everyone,Role Playing
Angry Birds Friends,4.2,"829,753","50,000,000",0.00,Everyone,Arcade
Angry Birds Go!,4.2,"3,846,378","50,000,000",0.00,Everyone,Racing
Angry Birds Rio,4.4,"2,610,680","100,000,000",0.00,Everyone,Arcade
Angry Birds Star Wars,4.3,"1,218,055","100,000,000",0.00,Everyone,Arcade
Ant Smasher by Best Cool & Fun Games,4.2,"1,185,148","100,000,000",0.00,Everyone,Arcade
Anti-virus Dr.Web Light,4.5,"1,094,094","100,000,000",0.00,Everyone,Tools
Applock,4.4,"4,934,130","100,000,000",0.00,Everyone,Tools
AppLock - Fingerprint,4.4,"745,245","10,000,000",0.00,Everyone,Tools
APUS Booster - Space Cleaner & Booster,4.6,"1,048,766","10,000,000",0.00,Everyone,Productivity
"APUS Launcher - Theme, Wallpaper, Hide Apps",4.5,"5,783,441","100,000,000",0.00,Everyone,Personalization
Asphalt 8: Airborne,4.5,"8,389,714","100,000,000",0.00,Teen,Racing
ASUS PixelMaster Camera,4.4,"626,366","10,000,000",0.00,Everyone,Photography
Automatic Call Recorder,4.3,"1,648,515","100,000,000",0.00,Everyone,Tools
Avakin Life - 3D virtual world,4.4,"1,275,373","10,000,000",0.00,Teen,Role Playing
"Avast Cleanup & Boost, Phone Cleaner, Optimizer",4.5,"648,380","10,000,000",0.00,Everyone,Tools
Avast Mobile Security 2018 - Antivirus & App Lock,4.5,"5,180,480","100,000,000",0.00,Everyone,Tools
AVG AntiVirus 2018 for Android Security,4.5,"6,207,063","100,000,000",0.00,Everyone,Tools
"AVG Cleaner – Speed, Battery & Memory Booster",4.4,"1,188,154","10,000,000",0.00,Everyone,Productivity
AZ Screen Recorder - No Root,4.6,"751,911","10,000,000",0.00,Everyone,Video Players & Editors
B612 - Beauty & Filter Camera,4.4,"5,282,578","100,000,000",0.00,Everyone,Photography
Backgrounds HD (Wallpapers),4.6,"2,390,185","100,000,000",0.00,Teen,Personalization
Bad Piggies,4.3,"1,168,959","50,000,000",0.00,Everyone,Puzzle
Bad Piggies HD,4.4,"764,967","10,000,000",0.00,Everyone,Puzzle
Banana Kong,4.4,"3,452,530","100,000,000",0.00,Everyone,Action
Bank of Brazil,4.5,"1,336,246","10,000,000",0.00,Everyone,Finance
